fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd
CHRISTA,,VOIGT,,1977,4,14
SABINE,,MEYER,,1943,9,2
INGRID,,SCHULZ,,2000,6,12
SILVIA,UTE,SCHUSTER,,1935,2,8
MARIA,,LEHMANN,,1966,2,18
MARIANNE,,MUELLER,,1966,8,18
KARIN,,WERNER,,1954,6,11
HELGA,SABINE,KUHN,,1977,5,28
ELFRIEDE,,SCHMIDT,,1929,11,12
SABINE,,WOLFF,,1927,11,10
NICOLE,,ROTH,,1937,5,3
GISELA,,BECK,,1944,1,15
RENATE,,VOIGT,,1943,6,13
BARBARA,,KOEHLER,,1984,4,18
GABRIELE,,SCHMID,,1986,5,24
GERTRUD,,SCHMID,,1980,2,8
MARION,,MEYER,,1964,9,20
SUSANNE,,OTTO,,1964,10,14
SABINE,,BOEHM,FRANK,1958,3,7
BRITTA,,SCHAEFER,,1953,2,11
HILDEGARD,,MARTIN,,1966,2,1
BRITTA,,FISCHER,,1998,6,20
INGE,,MAYER,,1968,7,16
URSULA,,SCHNEIDER,,1997,10,23
PETRA,,MUELLER,,1958,3,30
ANJA,,SCHMIDT,,1958,11,4
UTE,,MOELLER,,1997,12,25
KARINO,,SCHMITT,,1986,2,3
ERIKA,,SCHULZ,,1967,7,28
BARBARA,,JUNG,,1991,5,13
ANFJA,,FISCHER,,1980,7,31
HILDEGARD,,FISCHER,HAAS,1966,6,28
ELISABETH,,BECKER,,1937,12,21
GISELA,,MAIER,,1985,9,21
RENATE,,SCHMIDT,,1926,6,29
ANDREA,,MAIER,,1966,6,29
SABINE,,KELLER,,1962,5,29
SILKE,,SOMMER,,1940,11,22
HILDEGARD,,PFEIFFER,,1946,8,18
CHRISTA,,SCHULZE,,1948,11,6
SANDRA,,WEBER,,1950,4,30
MARTINA,,JAEGER,,1955,11,13
UTE,,FRANKE,,1962,10,1
SUSANNE,,OTTO,,1764,10,14
BIRGIT,,SCHULZE,,1989,10,6
GERTRUD,,PETERS,,1967,12,30
HILDEGARD,,WEISS,,1945,9,27
KARIN,,MUELLER,,1933,7,3
MARIA,,BAUER,,1984,12,19
KATHRIN,,SCHNEIDER,,1939,1,7
BRIGITTE,,SCHMIDT,,1982,10,29
GERTRUD,,BOEHM,,1973,12,29
ELFRIEDE,,FISCHER,,1992,2,2
PETRA,,HARTMANN,,1935,9,9
SONVJA,,SCHMIDT,,2008,9,15
BRIGITTE,,PETERS,,1973,8,27
HELGA,HELGA,SCHMID,,1973,7,9
DANIELA,,FRANK,,1953,4,8
MARGARETE,MARIANNE,FISCHER,,1958,1,12
MARIANNE,,BAUMANN,,1926,8,26
CHRISTINE,,MUELLER,,1937,7,18
BARBARA,,SCHMIDT,,1966,2,5
KARIN,,RICHTER,,1986,3,1
RENATE,,SCHWARZ,,2001,11,19
MONIKA,,WAGNER,,1928,6,28
URSULA,,SCHMITT,,1986,12,2
MARTINA,,SCHOLZ,,1978,2,2
ANNA,,SCHUBERT,,1977,2,12
RENATE,,WAGNER,,1930,5,27
GABRIELE,,FISCHER,,1974,4,25
DANIELA,,SCHUMACHER,,1996,6,9
WALTRAUD,,OTTO,,1983,12,25
SANDRA,,MUELLER,,1934,7,10
ELKE,,KUEHN,,1952,3,15
HEIKE,,SCHMITT,,1957,1,8
INGRID,,SCHULZ,,1931,7,27
SUSANNE,,SCHAIDT,,1970,8,10
CHRISTA,,RICHTER,,1962,7,22
STEFANIE,,KRUEGER,,1988,4,18
MARGARETE,,GRAF,,1986,10,6
URSULA,,MARTIN,,1980,12,9
CLAUDIA,,SIMON,,1958,9,26
MARION,,MEIER,,1948,5,15
ANNA,,BERGMANN,LANGE,1978,3,29
BAERBCEL,,WERNER,,1930,6,22
BIRGIT,,RICHTER,,1947,11,26
SABINE,URSULA,PETEFS,,1935,10,25
GERTRUD,,WALTER,,1987,6,22
UTE,,SCHULZE,,1937,12,7
ANNA,,SCHROEDER,,1926,8,1
HELGA,,SCHNEIDER,,1934,9,6
RENATE,,THOMAS,,1949,11,27
SABINE,,LEHMANN,,1963,11,2
GABRIELE,,NEUMANN,,1948,10,23
KATJA,,MEYER,,1996,3,7
GABRIELE,,WEBER,,1962,3,19
CLAUDIA,,SCHMIDT,,1978,5,2
GISELA,,SCHMITZ,,1963,8,2
SUSANNE,,SCHMIDT,,1970,4,14
BIRGIT,,WEBER,,1980,16,10
GABRIELE,,MUELLER,,1983,1,19
URSULA,,ZIMMERMANN,,1948,0,27
HEIKET,,BERGER,,1963,7,13
MONIWKA,,MUELLER,,1933,5,28
GISELA,,SCHUMAECHER,,1957,11,29
URSULA,,KOCH,,1994,8,1
HEIKE,GISELA,WERNER,,2001,10,5
SABIENE,,HEINRICH,,1926,9,23
REGINA,,SCHROEDER,,2005,2,20
GERTRUD,GERTRUD,LUDWIG,,1998,12,8
PETRA,,KRAUS,,1947,12,28
GABRIELE,,HAAS,,1991,2,12
PETRA,,LANGE,,2001,1,5
ELISABETH,,LEHMANN,,1981,4,9
SABINE,,ZIETLER,,1989,11,3
BRIGITTE,BRIGITTE,BECJER,,1964,1,31
IRMGARD,,FRANK,,1975,4,29
SILVIA,,GUENTHER,,1958,11,30
INGRID,,SCHULZ,,1972,9,24
KATHRIN,,HAHN,,2007,11,25
SUSANNE,BAERBEL,ZIEGLER,,1961,9,7
ELISABETH,,MUELLER,,1955,8,26
KARIN,,VOIGT,,1939,4,19
BEATE,,BAUER,,1957,7,17
ANNA,,SCHMILT,,1949,1,3
BRIGITTE,,WINKLER,,1936,10,11
CHRISTINE,,WAGNER,,1928,11,8
ELISABETH,,KRUEGER,,1938,6,5
HELGA,,MAIER,,1942,9,30
GABRIELE,,KOCH,,1490,5,2
INGRID,,LEHMANN,,1936,3,3
TANJA,,MUELLER,,1938,1,15
CHRISTA,,BAUER,,1955,6,10
ANNA,,BRANDT,,1998,5,24
SUSANNE,,MARTIN,,1992,11,1
GISELA,,PFEIFFER,,1972,3,26
CHRISTA,STEFANIE,SAUER,,1941,11,28
MARTINA,,WEBER,,1997,5,3
ILSE,SABINE,FISCHER,,1979,9,12
HILDEGARD,,SCHMIDT,,2000,8,26
RENATE,,LEHMANN,,1930,2,16
CHRISTA,,FUCHS,,1974,11,28
ELISABETH,,MAYER,,1937,7,30
GERTRUD,,FISCHER,,1967,2,9
STEFANIE,,FISCHER,,1932,2,14
BRIGITTE,,THOMAS,,1950,4,2
ELKBE,,LUDWIG,,1981,3,28
IRMGARD,,BAUER,,1988,9,17
RENATE,ANNA,MARTIN,,1986,7,2
ANDREA,,RICHTER,,1939,8,2
SABINE,,KOCH,,1946,2,4
BARBAVRA,,KOERTIG,,1951,8,19
ERIKA,,KAISER,SCHMIDT,2008,9,10
HILDEGARD,,WINKLER,,1979,10,18
CHRISTA,INGRID,GUENTHER,,1981,4,3
MARTHA,ANDREA,MUELLER,,1976,12,2
INGRID,,JUNG,,1958,4,10
ANJA,,VOGT,,1986,9,15
GERTRUD,,HARTMANN,,2004,7,3
SUSANNE,,WEBER,,1927,12,12
BIRGIT,,PETERS,,1968,11,30
SUSANNE,,ENGEL,,1944,6,9
UTE,,SCHMIDT,,1942,2,6
HEIDI,,SCHMIDT,,1988,12,21
HELGA,STEFANIE,SOMMER,,1984,5,21
HELGA,,KOCH,,1988,3,5
PETRA,,SAUER,,1959,6,10
CLAUDIA,,WINKLRR,,1982,1,8
BIRGIT,,SCHMIDT,,1955,8,14
ELKE,,WALTER,,1964,4,26
ANGELIKA,,KOEHLER,,1944,7,18
MARIA,,MUELLER,,1948,8,12
EVA,,OTTO,,1982,12,23
RITA,,HAAS,,2007,12,1
KARIN,,KRAUS,,1999,12,23
HELGA,,SCHROEDER,,1949,1,5
INGEBORG,,BECLER,,2000,1,21
GISELA,,KLEIN,,1948,8,2
URSULA,,WINTER,,1944,11,23
SUSANNE,,LEHMANN,,1985,6,6
BAERBEL,,KOCH,,1981,3,8
ANNA,,MUELLER,,1992,4,5
ANTJE,SANDRA,WEBER,,1962,1,22
ILSE,,LANGE,,2003,2,9
UTE,,JAEGER,,1975,11,10
SABINE,,HEINRICH,,1926,9,23
KARIN,,WAGNER,,1963,10,8
CLAUDIA,,WINTER,,1953,1,10
ANNA,SANDRA,BUSCH,,1971,9,11
HEIKE,,HUBER,,1970,4,14
SONJA,,WAGNER,,1947,5,25
SABINE,,KLEIN,,1931,1,10
ANKE,,WOLF,,1949,3,15
SILVIA,,ROTH,,1952,12,3
ELKE,,ROTH,,1948,1,11
MARIA,,SCHNEIDER,,1961,12,4
HANNELORE,,FISCHER,,1925,3,20
ILSE,,SCHUBERT,,1935,8,14
PETRA,ELFRIEDE,HOFRANN,MEYER,1955,1,14
KARIN,,MUELLER,,1939,8,2
RENATE,,POHL,,1977,4,26
BRIGITTE,,WOLFF,,1954,2,7
MARION,,BRANDT,,1946,6,23
RENATE,,KRAUSE,BECKER,1958,10,13
GISELA,,ENGEL,,1966,8,14
SABINE,,VOIGT,,1963,3,17
SILVIA,ELISABETH,KRAUSE,,1994,9,22
UTE,,BECKER,,1949,10,2
HELGA,,FISCHER,,1927,5,3
GABRIELE,,SCHMBDT,,1938,6,13
STEFANIE,,LUDWIG,,1961,8,3
MARIE,,HERRMANN,,1978,12,16
BARBARA,MONIKA,WOLF,,2004,12,1
BIRGIT,,SCHUSTER,,1935,9,22
KATJA,,KRAUS,,1956,6,24
ANNA,,WOLF,,1937,7,3
PETRA,,BAUER,,1969,7,8
KARIN,,HARTMANN,,2001,1,4
SABINE,,FISCHER,,1987,4,11
HILDEGARD,,MUELLER,,1990,4,3
INGE,,WOLF,,1951,12,5
ERIKA,,HARTMANN,,1932,4,26
STEFANIE,,HAAS,,1982,1,17
MARION,,MMYER,,1964,9,20
STEFANIE,,WAGNER,,1996,12,2
ELISABETH,,HOFFMANN,,1927,3,14
CLAUDNIA,,WALTER,,1926,1,1
RENATE,,GUENTHER,,1962,5,1
KARIN,SABINE,GROSS,,1943,7,29
MARIA,,FRANKE,,1948,7,6
ERIKA,,SCHMITT,,1990,8,20
ANDREA,,RICHTER,,1961,1,22
SUSANNE,,BRAUN,,1964,9,29
KERSTIN,,BECKER,,1962,2,25
BIRGIT,ANDREA,SCHAEFER,,1977,9,30
HELGA,,LANGE,,1924,2,20
MELANIE,,KOCH,,1933,10,13
MARIA,,SCHNEIDER,,1991,1,26
SILVIA,,HEINRICH,,2005,11,12
URSULA,,MEYER,,1935,9,4
RENATE,,GROSS,,1990,3,12
ANKE,,KUEHN,,1940,6,23
ERIKA,,BAUER,,1963,1,12
BAERBEL,,SCHMITT,,1963,11,8
HANNELORE,,MUELLER,,1951,8,25
BRIGITTE,,POHL,,1999,4,28
CLAUDIA,,SCHULZE,,1940,9,9
BRIGITTE,,BERGER,,1944,8,7
STEFANIE,,SCHMIDT,,1992,11,23
ANNA,,ROTH,,1972,12,3
BARBAGRA,,SCHMITT,,1965,3,31
RENATE,ELKE,MARTIN,,1954,2,3
MONIKA,,BERGMANN,,1947,1,29
GERDA,,WAGNER,,2004,2,6
ANJA,,MUELLER,,1966,6,7
CHRISTEL,,MAIER,,1966,6,12
URSULA,,ZIMMERMANN,,1977,11,6
CHRISTINIE,,SCHUMACHER,,1985,4,9
MARTHA,,HOFFMANN,,1966,11,2
UTE,,SCHMITT,,1983,12,23
BRIGITTE,,KRUEGER,,2002,3,28
ILSE,,SCHMIDT,,1953,4,16
ANJA,,HAHN,,1948,2,27
UTE,,SOMMER,,1990,11,30
PETRA,,HARTMANN,,1956,6,17
GUDRUN,INGRID,WOLF,,1933,4,8
SUSANNE,,KOEHLER,,1964,10,13
INGRID,,FRIEDRICH,,1976,12,31
URSULA,,LUDWIG,,1925,7,24
BRIGITTE,,KOCH,,1961,4,29
MARTINA,,WALTER,,1980,4,22
WALTRAUD,,WOLF,,1966,8,28
BRIGITTE,,HOFMANN,,1942,10,5
HILDEGARD,,GRAF,,1972,4,1
ELISABETH,,MUELLER,,1940,8,22
ANDREA,,RICHTER,,1982,9,20
PETRA,,KRAUS,,1984,12,13
KARIN,JUTTA,SCHMIDT,,1934,12,24
PETRA,,MEIER,,1958,5,2
ELKE,,WEBER,,1949,4,11
ELISABETH,,SCHWARZ,,1990,12,18
GISELA,,FISCHER,,1979,12,22
STEFANIE,,MUELLER,,1992,7,21
IRMGATRD,MARIA,SCHNEIDER,,1942,8,9
MONIKA,,NEUMANN,,1943,4,15
BARBARA,,VOIGT,,1996,12,19
GABRIELE,,ROTH,,1992,12,18
GISELA,SILKE,SCHAEFER,,1927,10,27
INGRID,,FUCHS,,1930,3,7
SABINE,,KRUEGER,,1963,10,22
INGE,,KOCH,,1963,10,21
NICOLE,,FUCHS,,1969,3,24
ELFRIEDE,,SCHMIDT,,1941,8,5
PETRA,,WAGNER,,1999,3,1
SABINE,,OTTO,,1984,7,25
CLAUDIA,,MUELLER,,1984,8,29
ANNA,,MUELLER,,1969,12,20
MONIKA,,WEBER,,1991,2,9
SABINE,ANNA,MOELLER,,2000,4,14
ILSE,,BECKER,,1955,7,19
RENATE,,KRAUS,,1929,1,9
CHRISTA,,GUENTHER,,1950,10,2
TANJA,,LEHMANN,,1995,7,21
BIRGIT,,STEIN,,1970,10,28
KATHRIN,,SCHWARZ,,1973,8,12
GERDA,,HERRMANN,,2003,8,11
HELGA,,FRANK,,1994,3,1
BIRGIT,,SCHMIDT,,1959,3,18
SUSANNE,,HORN,,1956,6,9
BARBARA,,MAIER,,1976,12,26
GERTRUD,MARION,VOGT,,1954,3,22
PETRA,,SOMMER,,1983,8,21
ELISABETH,,KAISER,,1943,5,30
ANNETTE,,MUELLER,,1994,6,14
CHRISTA,,ROTH,,2002,4,3
HELGA,,MEYER,,1956,1,25
ANJA,,MUELLER,,1996,12,4
ANDREA,,BERGER,,1960,6,19
MONIKA,,HOFFMANN,,1949,5,42
KATHRIN,,SCHMIDT,,1975,2,19
SUSANNE,,SCHAEFER,,1954,1,7
RENATE,,MAIER,,1997,7,12
INGEBORG,KARIN,BECK,,1928,8,10
HANNELORE,,SCHMIDT,,1947,11,13
JUTTA,,ZIEGLER,,1935,2,21
ELISABETH,,BRANDT,,1960,7,9
MARTINA,KARIN,POHL,,1984,3,28
MARIA,,BRAUN,,1962,3,7
BRIGITTE,,ENGEL,,1958,8,7
DAGMAR,,SCHROEDER,,1991,4,7
SILVIA,,FRANK,,1989,6,11
MARTINA,,GROSS,,1968,10,10
MARTINA,,MUELLER,,1932,5,18
BIRGIT,,LANGE,,1955,1,7
SABINE,,KELLER,,1992,1,31
MARIA,,WERNER,,1968,5,19
MONIKA,,SOMMER,,1956,2,12
MARTINA,SILVIA,HORN,,1967,8,5
ILSE,,BAUER,,1959,9,1
UTE,,MOELLER,,2005,3,28
KARIN,SABINE,HEINRICH,,1943,11,8
KATHARINA,,SCHMIDT,,1970,2,16
BARBARA,,HOFFMANN,,1984,3,28
ERIKA,,SCHMIDT,,1958,12,22
MARIA,,BECKER,,1961,7,30
HEIVKE,,RICHTER,,1953,12,9
RENASTE,,OTTO,,1943,8,29
URSUELA,,KRAUSE,,1973,2,24
ANJA,,SCHNEIDER,,1949,4,30
ANJA,,MEYER,,1944,4,3
GISELAK,,FRANK,,1942,10,31
ELFRIEDE,,SCHMIDT,,1941,9,5
CHRISTINE,,SCHNEIDER,,1948,11,10
UTE,,BRAUN,,1940,11,13
SUSANNE,,MUELLER,,1951,1,5
ELKE,,WALTER,,1994,6,7
DAGMAR,,FISCHER,,1960,3,19
HEIKE,,BUSCH,,1990,9,10
SANDRA,,SCHMIDT,,2005,3,22
BARBARA,,SEIDEL,,1960,7,22
MARTINA,,HUBER,,1925,3,21
CHRISTEL,,MUELLER,MEIER,1964,5,8
CLAUDIA,,DIERRICH,,1974,3,8
MONIKA,,HORN,,1931,12,5
CLAUDIA,,SCHNEIDER,,1984,9,25
URSULA,,FISCHER,,1963,7,14
ERIKA,,SCHULZ,,1984,8,19
SIGRID,,MEYER,,1966,5,10
URSULA,,KELLER,,1966,9,26
ELKE,,HEINRICH,,1974,3,7
EVA,,WERNER,,1968,10,14
EDITH,,MAIER,,1993,11,21
CHRISTINA,,HARTMANN,LEHMANN,1963,4,3
BIRGIT,,ZIMMERMANN,,1989,12,7
BARBARA,KARIN,SCHMID,,1967,7,4
MARIA,ELISABETH,HUBER,,1996,6,26
SUSANNE,,KOEHLER,,1955,7,2
MARIA,,KRAUS,,1953,4,21
ANGELIKA,,FRIEDRICH,,1969,3,11
SABINE,ANKE,WOLF,,1990,1,9
HELGA,,KLEIN,,1951,11,10
CHRISTINE,HELGA,VOIGT,,1965,5,28
GISELA,,SCHULZ,,1941,8,19
SABINE,,FRANK,,1960,11,4
JULIA,,BRAUN,,2006,11,8
BAERBEL,,KOEHLER,,1997,4,23
MONIKA,,RICHTER,,1965,3,16
ELISABETH,,HUBWR,,1948,1,25
CHRISTA,,SCHULZE,,1952,3,15
ANKE,,SCHMIDT,,1954,12,22
ANNA,,SCHROEDER,,1986,10,2
ILSE,,VIIGT,,1958,8,3
ANNA,,SAUER,,1926,6,2
URSULA,,MUELLER,,1957,3,30
SONJA,,MUELLER,,2007,3,28
RENATE,,SCHMITZ,,1941,3,25
ANNA,,FRANK,,1964,8,17
NICOLE,,WEBER,,1934,12,7
ANNA,,KRUEGER,,1992,10,25
KARIN,,WOLFF,,1963,12,25
GISELA,,BRAUN,,1939,10,16
KATHRIN,,VOGT,,1952,10,8
INGRID,,NEUMANN,,1984,7,29
ANDREA,,GUENTHER,,1990,7,29
KIRSTEN,,WEISS,,1960,6,20
STEFANIE,,MUELLER,,1965,3,27
DANIELA,,SCHUMACHER,,1996,6,17
HELGA,,SCHULZE,,1945,9,9
CHRISTA,,LEHMANN,,1959,9,30
RENATE,,FISCHER,,1970,3,21
CLAXUDIA,,LANGE,,1960,5,19
INGRID,,WEISS,,1958,6,1
SANDRA,,FISCHER,,1999,9,7
PETRA,,RICHTER,,1965,12,29
BRIGITTE,,SCHULTE,,1935,2,19
INGRID,,WAGNER,,1980,7,23
SABINE,,KLEIN,,1991,5,6
BRITTAC,,SCHMITZ,,1956,7,8
MONIKA,,SCHROEDER,,1964,10,21
MARION,,HORN,,1964,5,20
ANDREA,INGE,BOEHM,,1933,5,15
ANNA,,MUELLER,,1938,2,11
ANNA,,HOFFMANN,,1988,7,19
CHRISTEL,,JAEGER,,1951,12,14
CLAUDIA,,LANGE,,1960,5,19
ANDREA,,SCHMIDT,,1947,4,30
EDITH,,WEBER,,1935,9,2
BIRGIT,TUTH,ALBRECHT,,1947,12,3
KATJA,,LEHMANN,,1970,3,25
ELISABETH,,PETERS,,1943,2,9
RUTH,,LUDWIG,,1964,5,18
GABRIELE,,ROTH,JUNG,1973,2,12
STEFANIE,,BAUER,,1947,7,17
KIRSTEN,,KOCH,,1975,10,22
MARIANNE,,JUNG,,1941,3,13
BARBARA,,FISCHER,,1994,7,26
ANDREA,STEFANIE,FRANK,,1986,3,27
HELGA,,DIETRICH,,1955,10,7
CHRISTA,,SCHMIDT,,1931,7,22
IRMGARD,,SCHAEFER,,1936,9,12
MELANIE,,SCHULZ,,1940,7,16
KARIN,,BOEHM,,1972,8,28
MARLIS,,HUBER,,1952,10,9
SANDRA,,WEISS,,1954,3,30
MARIA,,SCHULZ,,1958,1,13
INGRID,,KUEHN,,1949,5,3
HILDEGARD,,WINKLER,,1964,2,14
BARBARA,,SCHMIDT,,1975,3,31
GISELA,,DIETRICH,,1970,9,16
INGRID,,KLEIN,,1964,6,14
SUSANNE,,SCHMIDT,,1947,11,13
ANDREA,,WINKLER,,1942,1,3
BRITTA,,SCHMIDT,,1944,2,26
STEFANIE,,FISCHER,,1993,1,26
GISELA,,MAYER,,1989,10,6
KARIN,,MUELLER,,1968,11,18
ANNA,,MEYER,,1955,11,1
HANNELORE,ANTJE,MOELLER,,1937,9,20
INGRID,,SCHMID,,1983,9,3
URSGULA,RENATE,SCHROEDER,,1956,2,22
BRIGITTE,,SCHROEDER,,1936,5,1
ELFRIEDE,,WINKLER,,1978,12,26
KARIN,,KAISER,,1957,5,4
CHRISTA,,BERGMANN,,1941,3,29
SONJA,,SCHMIDT,,2008,9,15
RITA,,BRAUN,,1980,3,27
MONIKA,,ALBRECHT,,2003,7,1
HILDEGARD,,SCHAEFER,,1951,3,14
ERIKA,,SAUER,,1943,2,25
GERDA,,MUELLER,,1967,10,19
BARBARA,,SCHMIDT,,1956,8,9
HELGA,,SCHMITZ,,1970,1,8
BIRGIT,,MUELLER,,1998,4,19
SABINE,,ZIEGLER,,1989,11,3
HELGA,,KRAUS,,2006,8,19
MARIA,,SCHNEIDER,,1994,10,5
INGE,,SCHNEIDER,,2004,9,11
BIRGIT,,SCHULZ,,1964,5,27
URSULA,,SCHULZE,,1938,8,3
STEFANIE,HEIKE,BECKER,,1975,4,12
MARIA,,KRUEGER,,1965,4,9
FRIEDA,,KRAUS,,1979,6,19
ERIKA,,SCHMIDT,,1999,9,11
STEFANIE,,SCHMIDT,,1072,7,23
BIRGIT,,SCHULZ,,1948,1,30
ANNA,,KOEHLER,,1937,3,18
KARIN,ANDREA,MUELLER,,1985,8,6
BRIGITTE,,ZIMMERMANN,,2008,3,14
CHRISTINA,,WEBER,,1979,1,24
BRIGITTE,MARGOT,SOMMER,,2000,6,19
ELISABETH,,BECKER,,1985,1,11
SUSANNE,SILKE,SCHAEFER,,1981,8,14
HELYGA,,KRAUSE,,1971,12,22
ULRIKE,,KLEIN,,1992,1,10
MARIA,,SCHREIBER,,2000,2,26
CHRISTA,REGINA,SCHAEFER,,1980,6,4
KARIN,,FISCHER,,1962,11,17
JULIA,,BAUER,,1958,9,17
LIESELOTTE,,KLEIN,,1976,2,16
ANJA,,LANGE,,1926,5,25
SUSANNE,,HOFFMANN,,1963,5,4
KARIN,,DIETRICH,,1980,8,11
URSULAD,,SCHULZ,,1982,3,22
ANNA,GISELA,SCHMIDT,,2001,8,4
MARIANNE,,BECKER,,2000,8,12
PETRA,,SCHMITT,,1960,3,8
RENAUTE,,KOEHLER,,1951,11,27
BIRGIT,,BAUER,,1928,6,13
SABINE,,SCHMIDT,,1995,2,27
ANKE,,MAIER,,2008,11,20
ANNA,,SOMMER,,1981,6,8
KARIN,,MUELLER,,2003,7,5
SABINE,,SCHNEIDER,,1944,9,25
SABINE,,SCHWARZ,,2003,7,22
IRMGARD,,SCHMID,,1957,4,8
RENATE,,BRAUN,,1952,6,17
ELFRIEDE,RENATE,HOFFMANN,,1941,12,20
GISELA,,VOIGT,,1963,12,19
BIRGIT,,FISCHER,,1937,10,26
HILDEGARD,,HEINRICH,,1992,7,3
KATHRIN,ILSE,KLEIN,,2003,8,1
KARIN,,KOEHLER,,1934,7,27
URSULA,,FISXHER,,1978,5,14
SUSANNE,,FISCHER,,1971,11,8
GUDRUN,,BAUER,,1937,3,17
SIGRID,,WOLFF,,1973,11,26
SILVIA,,KLEIN,,1993,8,30
ANNA,,WEISS,,1961,7,24
HELQGA,,FISCHER,,1975,4,9
RENATE,,WEISS,,1925,8,25
MARION,,SCHULZ,,2004,6,24
GISELA,,KELLER,,1932,8,8
GISELA,,HOFFMANN,,1956,9,14
MARLIS,,HOFFMANN,,1942,10,22
GISELA,,OTTO,,1985,12,1
UTE,,LEHMANN,,1947,5,1
BIRGIT,,WOLF,,1953,7,31
ANDREA,,WOLF,,1988,10,23
CHRISTA,,WEBER,,1991,9,2
ANDREA,,SCHMIDT,,1949,10,17
MARION,,BECK,,1951,1,27
GISELA,,SEIDEL,,1985,3,22
KERSTIN,,KLEIN,,1938,3,17
KATJA,,MUELLER,,1940,1,25
ANDREA,,MUELLER,,1964,1,17
DAGMAR,,LUDWIG,,1975,7,24
MONIKA,ELKE,FISCHER,,1956,10,12
BRIGITTE,,WINTER,,1994,8,29
TANJA,,SCHMIDT,,1980,3,9
HELGA,,SCHNEIDER,,1971,12,10
CHRISTA,,SCHMIDT,,1929,4,17
UTE,,SCHULZ,,2007,6,9
ANKE,,SIMON,,1939,12,19
KARIN,,ENGEL,,1984,4,6
HELGA,,SCHUMACHER,,1970,2,1
HILDEGARD,,MARTIN,,1955,6,14
NICOLE,,VOIGT,,2003,3,12
SANDRA,,SCHAEFER,,1980,12,4
CHRISTINE,,SCHMID,,1947,6,6
ANNA,,KAISER,,1984,11,8
ERNA,,WEBER,,1966,6,2
URSULA,,BERGER,,1971,6,4
MARGARETE,,SCHWARZ,,1997,3,17
FRIEDA,SILVIA,WEBER,,1960,3,17
RENATE,,THOMAS,,1953,10,31
STEFANIE,,SCHUMACHER,,1987,5,7
MONIKA,,HOFFMANN,,1949,5,24
KARIN,,KLEIN,,1987,3,16
INGEBORG,,MEYER,SCHMIDT,1963,5,1
UTE,,HORN,,1957,4,13
HELGA,,MUELLER,,1932,10,7
SILVIA,,SCHULZ,,1941,9,13
ANGELIKA,,FRANKE,,1962,1,7
PETRA,,WEBER,,1970,6,20
BRITTA,,WALTER,,1997,12,1
KARIN,,PETERS,,1947,10,6
BIRGIT,,BAUMANN,,1967,11,11
GERDA,,KOERTIG,,1949,8,19
LIESELOTTE,,BECKER,,1936,9,5
DAGMAR,,KAISER,,1945,9,30
ULRIKE,,KAISER,,1936,1,30
URSULA,,MUELLER,,1936,12,1
CHRISTEL,,GUENTHER,,1955,7,27
BIRGIT,,SCHNEIDER,,1971,8,15
MONIKA,,KRAUS,,1944,1,11
PETRA,,SCHMIDT,,1931,2,4
BARBARA,,SCHNEIDER,,1950,5,19
HELGA,,FRANK,,1955,7,31
CHRISTEL,IRMGARD,HEINRICH,,1960,1,28
CHRISTINA,,SCHNEIDER,,1961,8,17
STEFANIE,HEIKE,SCHMIDT,,1940,2,15
RENATE,,SCHMIDT,,1971,10,4
IRMGARD,MARIA,SCHNEIDER,,1942,8,9
SABINE,,BECKER,,1964,10,11
BRIGITTE,,GUENTHER,,1934,6,7
MELANIE,,GRAF,,1927,1,23
ANNA,BIRGIT,SCHMID,,1999,11,16
KARIN,,BAUER,,1993,6,5
CHRISTA,,WALTER,,1972,5,11
KATHRIN,,WAGNER,,1963,9,11
ELKE,,MAYER,,1964,6,18
ELISABETH,ANGELIKA,BAUER,,1944,6,16
CHRISTINE,,KLEIN,,1933,9,10
INGRID,,OTTO,,1961,5,6
HILDEGARD,,KAISER,,1973,5,31
IRMGARD,,SCHNEIDER,,2006,8,5
SABINE,,KLEIN,,1966,5,27
ILSEO,,WAGNER,,1986,1,21
CHRISTA,,WAGNER,,1948,4,23
MONIKA,,THOMAS,,1961,6,10
ANGELA,,WALTER,,1961,10,13
SONJA,,FRIEDRICH,,1993,6,1
INGRID,,HOFMANN,,1958,3,26
MELANIE,,MUELLER,,1956,7,12
BRIGITTE,,ZIMMERMANN,,1964,4,22
CHRISTA,,HOFFMANN,,1963,9,16
HELGA,,FISCHER,,1975,4,9
BIRGIT,,RICHTER,,2004,11,26
INGRID,,LEHMANN,,1938,7,20
GABRIELE,,KELLER,,1964,1,14
SILKE,,BRAUN,,1966,6,20
NICOLE,,MEYPER,,1988,2,27
IRMGARD,CHRISTEL,RICHTER,,1964,7,19
EVA,,SCHWARZ,,1936,12,19
CHRISTA,,PFEIFFER,,1957,4,13
BRIGITTE,,MAIER,,1950,8,15
BRIGITTE,,LUDWIG,,1974,11,22
CHRISTIANE,,KLEIN,,1986,10,18
RENATE,,VOGEL,,1965,5,13
KARIN,,LANGE,,1941,1,15
INGE,,WOLF,,1973,12,5
BIRGIT,,BOEHM,,1972,9,12
ERIKA,,WEISS,,2007,9,14
PETRA,,FISCHER,,1982,5,8
MARION,,WERNER,,1990,7,24
GABRIELE,,VOGEL,,1926,4,2
INGEBORG,,SCHREIBER,,1984,4,28
BIRGIT,,BECKER,,2006,9,15
RENATE,URSULA,GRAF,,1949,12,26
